date_qtr,asced3_code,lfs_status,sex,weight_sum,n
01/05/2004,521,3,2,NA,NA
01/05/2004,524,1,1,NA,NA
01/05/2004,524,1,2,2831.170819,11
01/05/2004,524,2,1,NA,NA
01/05/2004,524,2,2,NA,NA
01/05/2004,524,3,1,NA,NA
01/05/2004,524,3,2,3530.632419,14
01/05/2004,600,3,1,10374.68932,41
01/05/2004,600,3,2,9330.580976,36
01/05/2004,611,1,1,796072.8401,2964
01/05/2004,611,1,2,739009.0154,2857
01/05/2004,611,2,1,51053.6652,192
01/05/2004,611,2,2,52465.96693,203
01/05/2004,611,3,1,165204.3867,608
01/05/2004,611,3,2,325337.7787,1250
01/05/2004,613,1,1,267226.1432,1097
01/05/2004,613,1,2,281112.3583,1172
01/05/2004,613,2,1,21313.80647,94
01/05/2004,613,2,2,18458.34019,79
01/05/2004,613,3,1,85767.46879,342
01/05/2004,613,3,2,172660.4271,712
01/05/2004,621,1,1,590834.1459,2316
01/05/2004,621,1,2,604921.8105,2475
01/05/2004,621,2,1,56898.76193,230
01/05/2004,621,2,2,44055.55515,182
01/05/2004,621,3,1,179484.7029,736
01/05/2004,621,3,2,456627.6133,1848
01/05/2004,622,1,1,177707.3262,688
01/05/2004,622,1,2,126114.7374,507
01/05/2004,622,2,1,24336.05418,105
01/05/2004,622,2,2,18959.45222,75
01/05/2004,622,3,1,118124.1824,491
01/05/2004,622,3,2,181143.6663,736
01/05/2004,623,1,1,126672.0633,465
01/05/2004,623,1,2,66556.39553,260
01/05/2004,623,2,1,18065.68533,69
01/05/2004,623,2,2,7617.343676,31
01/05/2004,623,3,1,110911.1925,408
01/05/2004,623,3,2,204704.7948,767
01/05/2005,110,1,1,29570.07927,134
01/05/2005,110,1,2,17412.52777,77
01/05/2005,110,2,1,NA,NA
01/05/2005,110,2,2,NA,NA
01/05/2005,110,3,1,2923.301361,10
01/05/2005,110,3,2,NA,NA
01/05/2005,111,1,2,NA,NA
01/05/2005,114,1,1,5597.498451,25
01/05/2005,114,1,2,5138.693581,21
01/05/2005,114,2,2,NA,NA
01/05/2005,114,3,1,NA,NA
01/05/2005,114,3,2,NA,NA
01/05/2005,120,1,1,136165.5272,507
01/05/2005,120,1,2,95505.8631,367
01/05/2005,120,2,1,5232.68286,17
01/05/2005,120,2,2,3387.64479,14
01/05/2005,120,3,1,10189.91193,41
01/05/2005,120,3,2,19729.39771,76
01/05/2005,211,1,1,87455.53858,340
01/05/2005,211,1,2,125899.772,509
01/05/2005,211,2,1,NA,NA
01/05/2005,211,2,2,NA,NA
01/05/2005,211,3,1,6702.641238,30
01/05/2005,211,3,2,19619.35641,76
01/05/2005,221,1,1,13875.07936,53
01/05/2005,221,1,2,12263.78387,56
01/05/2005,221,3,1,NA,NA
01/05/2005,221,3,2,NA,NA
